RECID=R2017103970000003	阿SIR	āSIR
RECID=R2017103970006692	权力股	quánlìɡǔ
RECID=R2017103970006693	权钱交易	quánqiánjiāoyì
RECID=R2017103970006694	权欲	quányù
RECID=R2017103970006695	权责利	quán-zé-lì
RECID=R2017103970006696	权重	quánzhònɡ
RECID=R2017103970006697	全程服务	quánchénɡfúwù
RECID=R2017103970006698	全方位	quánfānɡwèi
RECID=R2017103970006699	全国通赔	quánɡuótōnɡpéi
RECID=R2017103970006700	全价	quánjià
RECID=R2017103970006701	全景	quánjǐnɡ
RECID=R2017103970006702	全景电影	quánjǐnɡdiànyǐnɡ
RECID=R2017103970006703	全科医生	quánkēyīshēnɡ
RECID=R2017103970006704	全科医学	quánkēyīxué
RECID=R2017103970006705	全空气空调系统	quánkōnɡqìkōnɡ-tiáoxì-tǒnɡ
RECID=R2017103970006706	全裸政府	quánluǒzhènɡfǔ
RECID=R2017103970006707	全民公决	quánmínɡōnɡjué
RECID=R2017103970006708	全奶席	quánnǎixí
RECID=R2017103970006709	全陪	quánpéi
RECID=R2017103970006710	全漂族	quánpiāozú
RECID=R2017103970006711	全球定位系统	quánqiúdìnɡwèixìtǒnɡ
RECID=R2017103970006712	全天候	quántiānhòu
RECID=R2017103970006713	全优	quányōu
RECID=R2017103970006714	全职	quánzhí
RECID=R2017103970006715	全职浪子	quánzhílànɡzǐ
RECID=R2017103970006716	全制式	quánzhìshì
RECID=R2017103970006717	全资	quánzī
RECID=R2017103970006718	拳炒	quánchǎo
RECID=R2017103970006719	拳理	Quánlǐ
RECID=R2017103970006720	拳联	Quánlián
RECID=R2017103970006721	拳迷	quánmí
RECID=R2017103970006722	拳坛	quántán
RECID=R2017103970006723	拳头产品	quántouchǎnpǐn
RECID=R2017103970006724	拳头商品	quántoushānɡpǐn
RECID=R2017103970006725	拳头项目	quántouxiànɡmù
RECID=R2017103970006726	拳头作品	quántouzuòpǐn
RECID=R2017103970006727	拳协	Quánxié
RECID=R2017103970006728	劝返	quànfǎn
RECID=R2017103970006729	劝抚	quànfǔ
RECID=R2017103970006730	劝购	quànɡòu
RECID=R2017103970006731	劝捐员	quànjuānyuán
RECID=R2017103970006732	券商	quànshānɡ
RECID=R2017103970006733	券种	quànzhǒnɡ
RECID=R2017103970006735	缺编	quēbiān
RECID=R2017103970006736	缺档	quēdànɡ
RECID=R2017103970006737	缺环	quēhuán
RECID=R2017103970006738	缺考	quēkǎo
RECID=R2017103970006739	缺失	quēshī
RECID=R2017103970006740	缺位	quēwèi
RECID=R2017103970006741	缺席判决	quēxípànjué
RECID=R2017103970006742	缺血	quēxuè
RECID=R2017103970006743	缺员	quēyuán
RECID=R2017103970006744	缺阵	quēzhèn
RECID=R2017103970006745	确权	quèquán
RECID=R2017103970006747	裙房	qúnfánɡ
RECID=R2017103970006748	裙服	qúnfú
RECID=R2017103970006749	裙裤	qúnkù
RECID=R2017103970006750	裙楼	qúnlóu
RECID=R2017103970006751	裙装	qúnzhuānɡ
RECID=R2017103970006752	群发	qúnfā
RECID=R2017103970006753	群芳	qúnfānɡ
RECID=R2017103970006754	群访	qúnfǎnɡ
RECID=R2017103970006755	群呼	qúnhū
RECID=R2017103970006756	群脑	qúnnǎo
RECID=R2017103970006757	群体性怨恨	qúntǐxìnɡyuànhèn
RECID=R2017103970006758	群销	qúnxiāo
RECID=R2017103970006759	群蛀	qúnzhù
RECID=R2017103970006760	群租户	qúnzūhù
RECID=R2017103970006761	群租客	qúnzūkè
RECID=R2017103970006764	燃爆	ránbào
RECID=R2017103970006765	燃炽	ránchì
RECID=R2017103970006766	燃耗	ránhào
RECID=R2017103970006767	燃料电池	ránliàodiànchí
RECID=R2017103970006768	燃效	ránxiào
RECID=R2017103970006769	染毒	rǎndú
RECID=R2017103970006770	染塑	rǎnsù
RECID=R2017103970006772	让电	rànɡdiàn
RECID=R2017103970006773	让利	rànɡlì
RECID=R2017103970006774	让市	rànɡshì
RECID=R2017103970006775	让台	rànɡtái
RECID=R2017103970006777	扰民	rǎomín
RECID=R2017103970006778	扰市	rǎoshì
RECID=R2017103970006780	惹火	rěhuǒ
RECID=R2017103970006781	惹目	rěmù
RECID=R2017103970006782	热榜	rèbǎnɡ
RECID=R2017103970006783	热冰	rèbīnɡ
RECID=R2017103970006784	热播	rèbō
RECID=R2017103970006785	热炒	rèchǎo
RECID=R2017103970006786	热处理	rèchǔlǐ
RECID=R2017103970006787	热岛	rèdǎo
RECID=R2017103970006788	热岛现象	rèdǎoxiànxiànɡ
RECID=R2017103970006789	热岛效应	rèdǎoxiàoyìnɡ
RECID=R2017103970006790	热点	rèdiǎn
RECID=R2017103970006791	热风	rèfēnɡ
RECID=R2017103970006792	热购	rèɡòu
RECID=R2017103970006793	热化	rèhuà
RECID=R2017103970006794	热货	rèhuò
RECID=R2017103970006795	热键	rèjiàn
RECID=R2017103970006796	热辣	rèlà
RECID=R2017103970006797	热老虎	rèlǎohǔ
RECID=R2017103970006798	热力	rèlì
RECID=R2017103970006799	热量	rèliànɡ
RECID=R2017103970006800	热聊	rèliáo
RECID=R2017103970006801	热卖	rèmài
RECID=R2017103970006802	热评	rèpínɡ
RECID=R2017103970006803	热启动	rèqǐdònɡ
RECID=R2017103970006804	热钱	rèqián
RECID=R2017103970006805	热俏	rèqiào
RECID=R2017103970006806	热区	rèqū
RECID=R2017103970006807	热赛	rèsài
RECID=R2017103970006808	热身	rèshēn
RECID=R2017103970006809	热身赛	rèshēnsài
RECID=R2017103970006810	热势	rèshì
RECID=R2017103970006811	热态	rètài
RECID=R2017103970006812	热田	rètián
RECID=R2017103970006813	热土	rètǔ
RECID=R2017103970006814	热污染	rèwūrǎn
RECID=R2017103970006815	热线	rèxiàn
RECID=R2017103970006816	热项	rèxiànɡ
RECID=R2017103970006817	热销	rèxiāo
RECID=R2017103970006818	热效应	rèxiàoyìnɡ
RECID=R2017103970006819	热学	rèxué
RECID=R2017103970006820	热映	rèyìnɡ
RECID=R2017103970006821	热战	rèzhàn
RECID=R2017103970006822	热招	rèzhāo
RECID=R2017103970006823	热挚	rèzhì
RECID=R2017103970006825	人保	①Rénbǎo
RECID=R2017103970006826	人本位	rénběnwèi
RECID=R2017103970006827	人才高消费	réncáiɡāoxiāofèi
RECID=R2017103970006828	人才库	réncáikù
RECID=R2017103970006829	人才链	réncáiliàn
RECID=R2017103970006830	人才流	réncáiliú
RECID=R2017103970006831	人工肺	rénɡōnɡfèi
RECID=R2017103970006832	人工海洋	rénɡōnɡhǎiyánɡ
RECID=R2017103970006833	人工皮	rénɡōnɡpí
RECID=R2017103970006834	人工气候室	rénɡōnɡqìhòushì
RECID=R2017103970006835	人工妊娠	rénɡōnɡrènshēn
RECID=R2017103970006836	人工喂养	rénɡōnɡwèiyǎnɡ
RECID=R2017103970006837	人工消雾	rénɡōnɡxiāowù
RECID=R2017103970006838	人工心肺机	rénɡōnɡxīnfèijī
RECID=R2017103970006839	人工血管	rénɡōnɡxuèɡuǎn
RECID=R2017103970006840	人工智能	rénɡōnɡzhìnénɡ
RECID=R2017103970006841	人工智能系统	rénɡōnɡzhìnénɡxìtǒnɡ
RECID=R2017103970006842	人工种子	rénɡōnɡzhǒnɡzi
RECID=R2017103970006843	人机大战	rén-jīdàzhàn
RECID=R2017103970006844	人机对话	rén-jīduìhuà
RECID=R2017103970006845	人机系统	rén-jīxìtǒnɡ
RECID=R2017103970006846	人籍	rénjí
RECID=R2017103970006847	人际	rénjì
RECID=R2017103970006848	人居	rénjū
RECID=R2017103970006849	人口钟	rénkǒuzhōnɡ
RECID=R2017103970006850	人类基因图谱	rénlèijīyīntúpǔ
RECID=R2017103970006851	人类基因组	rénlèijīyīnzǔ
RECID=R2017103970006852	人龙	rénlónɡ
RECID=R2017103970006853	人脉	rénmài
RECID=R2017103970006854	人脉变现	rénmàibiànxiàn
RECID=R2017103970006855	人脑库	rénnǎokù
RECID=R2017103970006856	人偶	rén’ǒu
RECID=R2017103970006857	人品币	rénpǐnbì
RECID=R2017103970006858	人情方	rénqínɡfānɡ
RECID=R2017103970006859	人情分	rénqínɡfēn
RECID=R2017103970006860	人情货	rénqínɡhuò
RECID=R2017103970006861	人情税	rénqínɡshuì
RECID=R2017103970006862	人情网	rénqínɡwǎnɡ
RECID=R2017103970006863	人情药	rénqínɡyào
RECID=R2017103970006864	人人贷	rénréndài
RECID=R2017103970006865	人肉	rénròu
RECID=R2017103970006866	人肉搜索	rénròusōusuǒ
RECID=R2017103970006867	人伤黄牛	rénshānɡhuánɡniú
RECID=R2017103970006868	人蛇	rénshé
RECID=R2017103970006869	人身保险	rénshēnbǎoxiǎn
RECID=R2017103970006870	人身险	rénshēnxiǎn
RECID=R2017103970006871	人体代谢模拟装置	réntǐdài-xièmónǐzhuānɡzhì
RECID=R2017103970006872	人体盾牌	réntǐdùnpái
RECID=R2017103970006873	人体芯片	réntǐxīnpiàn
RECID=R2017103970006874	人体秀	réntǐxiù
RECID=R2017103970006875	人体炸弹	réntǐzhàdàn
RECID=R2017103970006876	人学	rénxué
RECID=R2017103970006877	人妖	rényāo
RECID=R2017103970006878	人造美女	rénzàoměinǚ
RECID=R2017103970006879	人造太阳	rénzàotàiyánɡ
RECID=R2017103970006880	人渣	rénzhā
RECID=R2017103970006881	人治	rénzhì
RECID=R2017103970006882	仁二代	rén’èrdài
RECID=R2017103970006883	认储	rènchǔ
RECID=R2017103970006884	认罚	rènfá
RECID=R2017103970006885	认房认贷	rènfánɡrèndài
RECID=R2017103970006886	认负	rènfù
RECID=R2017103970006887	认购	rènɡòu
RECID=R2017103970006888	认捐	rènjuān
RECID=R2017103970006889	认知	rènzhī
RECID=R2017103970006890	认知科学	rènzhīkēxué
RECID=R2017103970006891	任聘	rènpìn
RECID=R2017103970006893	日经指数	Rìjīnɡzhǐshù
RECID=R2017103970006894	日流	Rìliú
RECID=R2017103970006895	日食经济热	rìshíjīnɡjìrè
RECID=R2017103970006896	日薪	rìxīn
RECID=R2017103970006898	荣耻	rónɡchǐ
RECID=R2017103970006899	荣登	rónɡdēnɡ
RECID=R2017103970006900	荣退	rónɡtuì
RECID=R2017103970006901	荣休	rónɡxiū
RECID=R2017103970006902	绒画	rónɡhuà
RECID=R2017103970006903	容载	rónɡzǎi
RECID=R2017103970006904	容装	rónɡzhuānɡ
RECID=R2017103970006905	溶汇	rónɡhuì
RECID=R2017103970006906	溶结	rónɡjié
RECID=R2017103970006907	溶媒	rónɡméi
RECID=R2017103970006908	溶蚀	rónɡshí
RECID=R2017103970006909	溶注	rónɡzhù
RECID=R2017103970006910	融聚	rónɡjù
RECID=R2017103970006911	融洽会	Rónɡqiàhuì
RECID=R2017103970006912	融注	rónɡzhù
RECID=R2017103970006913	融资	rónɡzī
RECID=R2017103970006914	融资门	rónɡzīmén
RECID=R2017103970006915	融资券	rónɡzīquàn
RECID=R2017103970006916	融资租赁	rónɡzīzūlìn
RECID=R2017103970006918	柔静	róujìnɡ
RECID=R2017103970006919	柔曼	róumàn
RECID=R2017103970006920	柔美	róuměi
RECID=R2017103970006921	柔术	róushù
RECID=R2017103970006922	柔坛	róután
RECID=R2017103970006923	柔性	róuxìnɡ
RECID=R2017103970006924	肉弹	ròudàn
RECID=R2017103970006925	肉鸽	ròuɡē
RECID=R2017103970006926	肉鸡	ròujī
RECID=R2017103970006927	肉检	ròujiǎn
RECID=R2017103970006928	肉马	ròumǎ
RECID=R2017103970006929	肉牛	ròuniú
RECID=R2017103970006930	肉禽	ròuqín
RECID=R2017103970006931	肉色包装	ròusèbāozhuānɡ
RECID=R2017103970006932	肉食鸽	ròushíɡē
RECID=R2017103970006933	肉食女	ròushínǚ
RECID=R2017103970006934	肉兔	ròutù
RECID=R2017103970006935	肉鸭	ròuyā
RECID=R2017103970006936	肉友	ròuyǒu
RECID=R2017103970006938	儒商	rúshānɡ
RECID=R2017103970006939	濡润	rúrùn
RECID=R2017103970006940	乳房炸弹	rǔfánɡzhàdàn
RECID=R2017103970006941	入保	rùbǎo
RECID=R2017103970006942	入场券	rùchǎnɡquàn
RECID=R2017103970006943	入档	rùdànɡ
RECID=R2017103970006944	入籍	rùjí
RECID=R2017103970006945	入库	rùkù
RECID=R2017103970006946	入盟	rùménɡ
RECID=R2017103970006947	入球	rùqiú
RECID=R2017103970006948	入圈	rùquān
RECID=R2017103970006949	入世	rùshì
RECID=R2017103970006950	入市	rùshì
RECID=R2017103970006951	入托	rùtuō
RECID=R2017103970006952	入网	rùwǎnɡ
RECID=R2017103970006953	入围	rùwéi
RECID=R2017103970006954	入线	rùxiàn
RECID=R2017103970006955	入心	rùxīn
RECID=R2017103970006956	入星	rùxīnɡ
RECID=R2017103970006957	入汛	rùxùn
RECID=R2017103970006958	入园	rùyuán
RECID=R2017103970006959	入值	rùzhí
RECID=R2017103970006961	软霸权	ruǎnbàquán
RECID=R2017103970006962	软包装	ruǎnbāozhuānɡ
RECID=R2017103970006963	软笔	ruǎnbǐ
RECID=R2017103970006964	软币	ruǎnbì
RECID=R2017103970006965	软裁员	ruǎncáiyuán
RECID=R2017103970006966	软产品	ruǎnchǎnpǐn
RECID=R2017103970006967	软产业	ruǎnchǎnyè
RECID=R2017103970006968	软雕塑	ruǎndiāosù
RECID=R2017103970006969	软广告	ruǎnɡuǎnɡɡào
RECID=R2017103970006970	软环办	Ruǎnhuánbàn
RECID=R2017103970006971	软环境	ruǎnhuánjìnɡ
RECID=R2017103970006972	软环境办公室	RuǎnhuánjìnɡBànɡōnɡshì
RECID=R2017103970006973	软技术	ruǎnjìshù
RECID=R2017103970006974	软绩效	ruǎnjìxiào
RECID=R2017103970006975	软件	ruǎnjiàn
RECID=R2017103970006976	软件狗	ruǎnjiànɡǒu
RECID=R2017103970006977	软件蓝领	ruǎnjiànlánlǐnɡ
RECID=R2017103970006978	软降	ruǎnjiànɡ
RECID=R2017103970006979	软科学	ruǎnkēxué
RECID=R2017103970006980	软目标	ruǎnmùbiāo
RECID=R2017103970006981	软起飞	ruǎnqǐfēi
RECID=R2017103970006982	软驱	ruǎnqū
RECID=R2017103970006983	软人才	ruǎnréncái
RECID=R2017103970006984	软杀伤	ruǎnshāshānɡ
RECID=R2017103970006985	软式排球	ruǎnshìpáiqiú
RECID=R2017103970006986	软式网球	ruǎnshìwǎnɡqiú
RECID=R2017103970006987	软收入	ruǎnshōurù
RECID=R2017103970006988	软书	ruǎnshū
RECID=R2017103970006989	软体家具	ruǎntǐjiājù
RECID=R2017103970006990	软通货	ruǎntōnɡhuò
RECID=R2017103970006991	软投入	ruǎntóurù
RECID=R2017103970006992	软投资	ruǎntóuzī
RECID=R2017103970006993	软网	ruǎnwǎnɡ
RECID=R2017103970006994	软文化	ruǎnwénhuà
RECID=R2017103970006995	软新闻	ruǎnxīnwén
RECID=R2017103970006996	软性毒品	ruǎnxìnɡdúpǐn
RECID=R2017103970006997	软性饮料	ruǎnxìnɡyǐnliào
RECID=R2017103970006998	软性制造	ruǎnxìnɡzhìzào
RECID=R2017103970006999	软饮料	ruǎnyǐnliào
RECID=R2017103970007000	软瘾	ruǎnyǐn
RECID=R2017103970007001	软指标	ruǎnzhǐbiāo
RECID=R2017103970007002	软着陆	ruǎnzhuólù
RECID=R2017103970007003	软资源	ruǎnzīyuán
RECID=R2017103970007005	锐	ruì
RECID=R2017103970007006	锐词	ruìcí
RECID=R2017103970007007	锐势	ruìshì
RECID=R2017103970007008	锐舞	ruìwǔ
RECID=R2017103970007010	弱环	ruòhuán
RECID=R2017103970007011	弱科	ruòkē
RECID=R2017103970007012	弱旅	ruòlǚ
RECID=R2017103970007013	弱能	ruònénɡ
RECID=R2017103970007014	弱势群体	ruòshìqúntǐ
RECID=R2017103970007015	弱视	ruòshì
RECID=R2017103970007016	弱听	ruòtīnɡ
RECID=R2017103970007017	弱智	ruòzhì
RECID=R2017103970007018	弱智教育	ruòzhìjiàoyù
RECID=R2017103970007021	萨斯	sàsī
RECID=R2017103970007023	赛池	sàichí
RECID=R2017103970007024	赛点	sàidiǎn
RECID=R2017103970007025	赛段	sàiduàn
RECID=R2017103970007026	赛风	sàifēnɡ
RECID=R2017103970007027	赛服	sàifú
RECID=R2017103970007028	赛馆	sàiɡuǎn
RECID=R2017103970007029	赛规	sàiɡuī
RECID=R2017103970007030	赛果	sàiɡuǒ
RECID=R2017103970007031	赛后寂寞症	sàihòujìmòzhènɡ
RECID=R2017103970007032	赛纪	sàijì
RECID=R2017103970007033	赛季	sàijì
RECID=R2017103970007034	赛绩	sàijì
RECID=R2017103970007035	赛况	sàikuànɡ
RECID=R2017103970007036	赛期	sàiqī
RECID=R2017103970007037	赛情	sàiqínɡ
RECID=R2017103970007038	赛时	sàishí
RECID=R2017103970007039	赛势	sàishì
RECID=R2017103970007040	赛项	sàixiànɡ
RECID=R2017103970007041	赛讯	sàixùn
RECID=R2017103970007042	赛址	sàizhǐ
RECID=R2017103970007043	赛制	sàizhì
RECID=R2017103970007045	三A	sānA
RECID=R2017103970007046	三不男	sānbùnán
RECID=R2017103970007047	三不女	sānbùnǚ
RECID=R2017103970007048	三部曲	sānbùqǔ
RECID=R2017103970007049	三C革命	sānCɡémìnɡ
RECID=R2017103970007050	三残	sāncán
RECID=R2017103970007051	三产	sānchǎn
RECID=R2017103970007052	三道杠女友	sāndàoɡànɡnǚ-yǒu
RECID=R2017103970007053	三点装	sāndiǎnzhuānɡ
RECID=R2017103970007054	三房	sānfánɡ
RECID=R2017103970007055	三高	sānɡāo
RECID=R2017103970007056	三个文明	sānɡèwénmínɡ
RECID=R2017103970007057	三核	sānhé
RECID=R2017103970007058	三化同步	sānhuàtónɡbù
RECID=R2017103970007059	三荒两高	sānhuānɡliǎnɡɡāo
RECID=R2017103970007060	三甲	sānjiǎ
RECID=R2017103970007061	三假	sānjiǎ
RECID=R2017103970007062	三讲	sānjiǎnɡ
RECID=R2017103970007063	三金	sānjīn
RECID=R2017103970007064	三聚氰胺	sānjùqínɡ’àn
RECID=R2017103970007065	三块女	sānkuàinǚ
RECID=R2017103970007066	“三明治”广告	sānmínɡzhìɡuǎnɡɡào
RECID=R2017103970007067	“三明治”人生	sānmínɡzhìrén-shēnɡ
RECID=R2017103970007068	三模三电	sānmósāndiàn
RECID=R2017103970007069	三农	sānnónɡ
RECID=R2017103970007070	三陪	sānpéi
RECID=R2017103970007071	三陪干部	sānpéiɡànbù
RECID=R2017103970007072	三陪小姐	sānpéixiǎojiě
RECID=R2017103970007073	三品	sānpǐn
RECID=R2017103970007074	三瓶女人	sānpínɡnǚrén
RECID=R2017103970007075	三破一苦	sānpòyīkǔ
RECID=R2017103970007076	三棋	sānqí
RECID=R2017103970007077	三企	sānqǐ
RECID=R2017103970007078	三贴近	sāntiējìn
RECID=R2017103970007079	三通	sāntōnɡ
RECID=R2017103970007080	三网合一	sānwǎnɡhéyī
RECID=R2017103970007081	三围	sānwéi
RECID=R2017103970007082	三维动画	sānwéidònɡhuà
RECID=R2017103970007083	三温暖	sānwēnnuǎn
RECID=R2017103970007084	三无产品	sānwúchǎnpǐn
RECID=R2017103970007085	三无企业	sānwúqǐyè
RECID=R2017103970007086	三无人员	sānwúrényuán
RECID=R2017103970007087	三五行动	Sān-WǔXínɡdònɡ
RECID=R2017103970007088	三下乡	sānxiàxiānɡ
RECID=R2017103970007089	三险	sānxiǎn
RECID=R2017103970007090	三养女	sānyǎnɡnǚ
RECID=R2017103970007091	三资农业	sānzīnónɡyè
RECID=R2017103970007092	三资企业	sānzīqǐyè
RECID=R2017103970007093	伞形公司	sǎnxínɡɡōnɡsī
RECID=R2017103970007094	散粉	sǎnfěn
RECID=R2017103970007095	散户	sǎnhù
RECID=R2017103970007096	散客	sǎnkè
RECID=R2017103970007097	散啤	sǎnpí
RECID=R2017103970007099	桑拿	sānɡná
RECID=R2017103970007100	桑拿天	sānɡnátiān
RECID=R2017103970007101	桑拿浴	sānɡnáyù
RECID=R2017103970007102	桑那	sānɡnà
RECID=R2017103970007103	桑那浴	sānɡnàyù
RECID=R2017103970007105	扫黑	sǎohēi
RECID=R2017103970007106	扫描	sǎomiáo
RECID=R2017103970007107	扫描笔	sǎomiáobǐ
RECID=R2017103970007109	色案	sè’àn
RECID=R2017103970007110	色灯	sèdēnɡ
RECID=R2017103970007111	色狼	sèlánɡ
RECID=R2017103970007112	色魔	sèmó
RECID=R2017103970007113	色商	sèshānɡ
RECID=R2017103970007115	森冷	sēnlěnɡ
RECID=R2017103970007116	森林癌症	sēnlínáizhènɡ
RECID=R2017103970007117	森林公园	sēnlínɡōnɡyuán
RECID=R2017103970007118	森林浴	sēnlínyù
RECID=R2017103970007119	森女	sēnnǚ
RECID=R2017103970007121	杀毒	shādú
RECID=R2017103970007122	杀毒软件	shādúruǎnjiàn
RECID=R2017103970007123	杀黄	shāhuánɡ
RECID=R2017103970007124	杀基	shājī
RECID=R2017103970007125	杀猫令	shāmāolìnɡ
RECID=R2017103970007126	杀青	shāqīnɡ
RECID=R2017103970007127	杀手	shāshǒu
RECID=R2017103970007128	杀熟	shāshú
RECID=R2017103970007129	沙暴	shābào
RECID=R2017103970007130	沙尘暴	shāchénbào
RECID=R2017103970007131	沙发	shāfā
RECID=R2017103970007132	沙狐球	shāhúqiú
RECID=R2017103970007133	沙疗	shāliáo
RECID=R2017103970007134	沙漠马拉松	shāmòmǎlāsōnɡ
RECID=R2017103970007135	沙排	shāpái
RECID=R2017103970007136	沙涩	shāsè
RECID=R2017103970007137	沙滩排球	shātānpáiqiú
RECID=R2017103970007138	沙浴	shāyù
RECID=R2017103970007139	傻瓜机	shǎɡuājī
RECID=R2017103970007140	傻瓜技术	shǎɡuājìshù
RECID=R2017103970007142	筛除	shāichú
RECID=R2017103970007143	筛汰	shāitài
RECID=R2017103970007144	晒	shài
RECID=R2017103970007145	晒地皮	shàidìpí
RECID=R2017103970007146	晒工资	shàiɡōnɡzī
RECID=R2017103970007147	晒黑	shàihēi
RECID=R2017103970007148	晒黑族	shàihēizú
RECID=R2017103970007149	晒黄鱼	shàihuánɡyú
RECID=R2017103970007150	晒卡族	shàikǎzú
RECID=R2017103970007151	晒客	shàikè
RECID=R2017103970007152	晒苦	shàikǔ
RECID=R2017103970007153	晒密	shàimì
RECID=R2017103970007154	晒年会	shàiniánhuì
RECID=R2017103970007155	晒品	shàipǐn
RECID=R2017103970007156	晒三公	shàisānɡōnɡ
RECID=R2017103970007157	晒书会	shàishūhuì
RECID=R2017103970007158	晒书节	shàishūjié
RECID=R2017103970007159	晒信	shàixìn
RECID=R2017103970007160	晒幸福	shàixìnɡfú
RECID=R2017103970007161	晒一族	shàiyīzú
RECID=R2017103970007162	晒友	shàiyǒu
RECID=R2017103970007164	山地车	shāndìchē
RECID=R2017103970007165	山侃	shānkǎn
RECID=R2017103970007166	山难	shānnàn
RECID=R2017103970007167	山洽会	Shānqiàhuì
RECID=R2017103970007168	山寨	shānzhài
RECID=R2017103970007169	山寨版	shānzhàibǎn
RECID=R2017103970007170	山寨帮	shānzhàibānɡ
RECID=R2017103970007171	山寨潮	shānzhàicháo
RECID=R2017103970007172	山寨车	shānzhàichē
RECID=R2017103970007173	山寨春晚	shānzhàichūnwǎn
RECID=R2017103970007174	山寨风	shānzhàifēnɡ
RECID=R2017103970007175	山寨街	shānzhàijiē
RECID=R2017103970007176	山寨经济	shānzhàijīnɡjì
RECID=R2017103970007177	山寨精神	shānzhàijīnɡshén
RECID=R2017103970007178	山寨军	shānzhàijūn
RECID=R2017103970007179	山寨明星	shānzhàimínɡxīnɡ
RECID=R2017103970007180	山寨文化	shānzhàiwénhuà
RECID=R2017103970007181	山寨足球队	shānzhàizúqiúduì
RECID=R2017103970007182	山寨族	shānzhàizú
RECID=R2017103970007183	煽情	shānqínɡ
RECID=R2017103970007184	闪	shǎn
RECID=R2017103970007185	闪兵	shǎnbīnɡ
RECID=R2017103970007186	闪辞族	shǎncízú
RECID=R2017103970007187	闪光点	shǎnɡuānɡdiǎn
RECID=R2017103970007188	闪光衣	shǎnɡuānɡyī
RECID=R2017103970007189	闪画	shǎnhuà
RECID=R2017103970007190	闪婚	shǎnhūn
RECID=R2017103970007191	闪客	shǎnkè
RECID=R2017103970007192	闪离	shǎnlí
RECID=R2017103970007193	闪亮登场	shǎnliànɡdēnɡchǎnɡ
RECID=R2017103970007194	闪露	shǎnlù
RECID=R2017103970007195	闪盘	shǎnpán
RECID=R2017103970007196	闪赔	shǎnpéi
RECID=R2017103970007197	闪跳	shǎntiào
RECID=R2017103970007198	闪跳族	shǎntiàozú
RECID=R2017103970007199	闪玩	shǎnwán
RECID=R2017103970007200	闪玩族	shǎnwánzú
RECID=R2017103970007201	闪约	shǎnyuē
RECID=R2017103970007202	善待	shàndài
RECID=R2017103970007203	善搞	shànɡǎo
RECID=R2017103970007204	善款	shànkuǎn
RECID=R2017103970007205	善视	shànshì
RECID=R2017103970007206	善主	shànzhǔ
RECID=R2017103970007208	伤不起	shānɡbùqǐ
RECID=R2017103970007209	伤得起	shānɡdeqǐ
RECID=R2017103970007210	伤众	shānɡzhònɡ
RECID=R2017103970007211	商贷	shānɡdài
RECID=R2017103970007212	商德	shānɡdé
RECID=R2017103970007213	商二代	shānɡ’èrdài
RECID=R2017103970007214	商房	shānɡfánɡ
RECID=R2017103970007215	商风	shānɡfēnɡ
RECID=R2017103970007216	商海	shānɡhǎi
RECID=R2017103970007217	商化	shānɡhuà
RECID=R2017103970007218	商交会	shānɡjiāohuì
RECID=R2017103970007219	商街	shānɡjiē
RECID=R2017103970007220	商流	shānɡliú
RECID=R2017103970007221	商派	shānɡpài
RECID=R2017103970007222	商品房	shānɡpǐnfánɡ
RECID=R2017103970007223	商品街	shānɡpǐnjiē
RECID=R2017103970007224	商品墙	shānɡpǐnqiánɡ
RECID=R2017103970007225	商聘	shānɡpìn
RECID=R2017103970007226	商气	shānɡqì
RECID=R2017103970007227	商情	shānɡqínɡ
RECID=R2017103970007228	商圈	shānɡquān
RECID=R2017103970007229	商儒	shānɡrú
RECID=R2017103970007230	商嫂	shānɡsǎo
RECID=R2017103970007231	商务楼	shānɡwùlóu
RECID=R2017103970007232	商小说	shānɡxiǎoshuō
RECID=R2017103970007233	商演	shānɡyǎn
RECID=R2017103970007234	商业防损师	shānɡyèfánɡsǔn-shī
RECID=R2017103970007235	商业街	shānɡyèjiē
RECID=R2017103970007236	商用	shānɡyònɡ
RECID=R2017103970007237	商友	shānɡyǒu
RECID=R2017103970007238	商誉	shānɡyù
RECID=R2017103970007239	商缘	shānɡyuán
RECID=R2017103970007240	商载	shānɡzài
RECID=R2017103970007241	商展	shānɡzhǎn
RECID=R2017103970007242	商战	shānɡzhàn
RECID=R2017103970007243	商住楼	shānɡzhùlóu
RECID=R2017103970007244	上班奴	shànɡbānnú
RECID=R2017103970007245	上班走私族	shànɡbānzǒusīzú
RECID=R2017103970007246	上榜	shànɡbǎnɡ
RECID=R2017103970007247	上传	shànɡchuán
RECID=R2017103970007248	上船	shànɡchuán
RECID=R2017103970007249	上轨	shànɡɡuǐ
RECID=R2017103970007250	上佳	shànɡjiā
RECID=R2017103970007251	上家	shànɡjiā
RECID=R2017103970007252	上交会	Shànɡjiāohuì
RECID=R2017103970007253	上镜	shànɡjìnɡ
RECID=R2017103970007254	上镜率	shànɡjìnɡlǜ
RECID=R2017103970007255	上课	shànɡkè
RECID=R2017103970007256	上墙	shànɡqiánɡ
RECID=R2017103970007257	上市	shànɡshì
RECID=R2017103970007258	上市公司	shànɡshìɡōnɡsī
RECID=R2017103970007259	上网	shànɡwǎnɡ
RECID=R2017103970007260	上网本	shànɡwǎnɡběn
RECID=R2017103970007261	上网卡	shànɡwǎnɡkǎ
RECID=R2017103970007262	上线	shànɡxiàn
RECID=R2017103970007263	上星	shànɡxīnɡ
